2025-10-25 16:40:09,407 - INFO - Starting autonomous flight with config: data\phase1_params.json
2025-10-25 16:40:09,407 - INFO - Loaded config: Phase 1 - Basic Gate Course
2025-10-25 16:40:09,408 - INFO - Waypoints: 3
2025-10-25 16:40:10,139 - INFO - Pairing drone...
2025-10-25 16:40:21,572 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:21,698 - WARNING - Rejecting outlier: vx=2850.0, vy=2137.5 cm/s
2025-10-25 16:40:21,713 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:21,776 - WARNING - Rejecting outlier: vx=1266.9, vy=0.0 cm/s
2025-10-25 16:40:21,792 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:21,854 - WARNING - Rejecting outlier: vx=2571.4, vy=11571.2 cm/s
2025-10-25 16:40:21,869 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:21,900 - WARNING - Rejecting outlier: vx=0.0, vy=2151.2 cm/s
2025-10-25 16:40:21,916 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,042 - WARNING - Rejecting outlier: vx=3544.8, vy=4253.8 cm/s
2025-10-25 16:40:22,057 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,120 - WARNING - Rejecting outlier: vx=2529.3, vy=6323.3 cm/s
2025-10-25 16:40:22,136 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,199 - WARNING - Rejecting outlier: vx=2546.9, vy=5093.7 cm/s
2025-10-25 16:40:22,215 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,245 - WARNING - Rejecting outlier: vx=10552.3, vy=10552.3 cm/s
2025-10-25 16:40:22,261 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,385 - WARNING - Rejecting outlier: vx=7893.0, vy=2152.6 cm/s
2025-10-25 16:40:22,401 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,463 - WARNING - Rejecting outlier: vx=2588.1, vy=0.0 cm/s
2025-10-25 16:40:22,478 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,540 - WARNING - Rejecting outlier: vx=3901.4, vy=7802.8 cm/s
2025-10-25 16:40:22,555 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,586 - WARNING - Rejecting outlier: vx=6478.5, vy=10797.4 cm/s
2025-10-25 16:40:22,601 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,725 - WARNING - Rejecting outlier: vx=723.8, vy=3619.0 cm/s
2025-10-25 16:40:22,741 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,801 - WARNING - Rejecting outlier: vx=12846.1, vy=14130.7 cm/s
2025-10-25 16:40:22,817 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,895 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:22,926 - WARNING - Rejecting outlier: vx=10816.9, vy=19470.4 cm/s
2025-10-25 16:40:22,942 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,066 - WARNING - Rejecting outlier: vx=2843.8, vy=711.0 cm/s
2025-10-25 16:40:23,083 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,145 - WARNING - Rejecting outlier: vx=6450.4, vy=10320.7 cm/s
2025-10-25 16:40:23,161 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,224 - WARNING - Rejecting outlier: vx=2492.7, vy=4985.5 cm/s
2025-10-25 16:40:23,239 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,271 - WARNING - Rejecting outlier: vx=17331.0, vy=32495.7 cm/s
2025-10-25 16:40:23,286 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,409 - WARNING - Rejecting outlier: vx=4320.9, vy=720.2 cm/s
2025-10-25 16:40:23,425 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,486 - WARNING - Rejecting outlier: vx=3897.4, vy=2598.3 cm/s
2025-10-25 16:40:23,502 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,564 - WARNING - Rejecting outlier: vx=15520.8, vy=1293.4 cm/s
2025-10-25 16:40:23,580 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,611 - WARNING - Rejecting outlier: vx=10482.2, vy=2096.4 cm/s
2025-10-25 16:40:23,627 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,753 - WARNING - Rejecting outlier: vx=4982.0, vy=1423.4 cm/s
2025-10-25 16:40:23,769 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,831 - WARNING - Rejecting outlier: vx=2502.0, vy=0.0 cm/s
2025-10-25 16:40:23,847 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,909 - WARNING - Rejecting outlier: vx=6431.7, vy=2572.7 cm/s
2025-10-25 16:40:23,924 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:23,956 - WARNING - Rejecting outlier: vx=4353.1, vy=2176.5 cm/s
2025-10-25 16:40:23,971 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,095 - WARNING - Rejecting outlier: vx=5019.2, vy=717.0 cm/s
2025-10-25 16:40:24,111 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,172 - WARNING - Rejecting outlier: vx=10376.6, vy=0.0 cm/s
2025-10-25 16:40:24,187 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,248 - WARNING - Rejecting outlier: vx=18213.9, vy=1301.0 cm/s
2025-10-25 16:40:24,263 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,295 - WARNING - Rejecting outlier: vx=57011.1, vy=6578.2 cm/s
2025-10-25 16:40:24,310 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,436 - WARNING - Rejecting outlier: vx=7069.1, vy=0.0 cm/s
2025-10-25 16:40:24,451 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,514 - WARNING - Rejecting outlier: vx=3878.7, vy=1292.9 cm/s
2025-10-25 16:40:24,528 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,592 - WARNING - Rejecting outlier: vx=2581.5, vy=1290.8 cm/s
2025-10-25 16:40:24,608 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,639 - WARNING - Rejecting outlier: vx=16603.5, vy=0.0 cm/s
2025-10-25 16:40:24,654 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,778 - WARNING - Rejecting outlier: vx=7178.1, vy=0.0 cm/s
2025-10-25 16:40:24,794 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,856 - WARNING - Rejecting outlier: vx=1292.1, vy=2584.3 cm/s
2025-10-25 16:40:24,872 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,934 - WARNING - Rejecting outlier: vx=2539.0, vy=6347.4 cm/s
2025-10-25 16:40:24,949 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:24,980 - WARNING - Rejecting outlier: vx=6525.7, vy=4350.4 cm/s
2025-10-25 16:40:24,996 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,119 - WARNING - Rejecting outlier: vx=716.9, vy=1433.9 cm/s
2025-10-25 16:40:25,135 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,199 - WARNING - Rejecting outlier: vx=1285.3, vy=5141.1 cm/s
2025-10-25 16:40:25,215 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,276 - WARNING - Rejecting outlier: vx=3805.9, vy=2537.3 cm/s
2025-10-25 16:40:25,291 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,322 - WARNING - Rejecting outlier: vx=0.0, vy=4364.4 cm/s
2025-10-25 16:40:25,338 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,463 - WARNING - Rejecting outlier: vx=1421.6, vy=7108.2 cm/s
2025-10-25 16:40:25,479 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,540 - WARNING - Rejecting outlier: vx=9097.6, vy=7798.0 cm/s
2025-10-25 16:40:25,556 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,634 - WARNING - Rejecting outlier: vx=6417.8, vy=6417.8 cm/s
2025-10-25 16:40:25,649 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,680 - WARNING - Rejecting outlier: vx=57651.0, vy=2135.2 cm/s
2025-10-25 16:40:25,695 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,819 - WARNING - Rejecting outlier: vx=4310.0, vy=1436.7 cm/s
2025-10-25 16:40:25,835 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,897 - WARNING - Rejecting outlier: vx=0.0, vy=3875.7 cm/s
2025-10-25 16:40:25,913 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:25,976 - WARNING - Rejecting outlier: vx=7690.9, vy=6409.1 cm/s
2025-10-25 16:40:25,991 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,022 - WARNING - Rejecting outlier: vx=14758.7, vy=29517.5 cm/s
2025-10-25 16:40:26,038 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,163 - WARNING - Rejecting outlier: vx=0.0, vy=3576.2 cm/s
2025-10-25 16:40:26,179 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,258 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,320 - WARNING - Rejecting outlier: vx=2532.1, vy=5064.3 cm/s
2025-10-25 16:40:26,336 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,366 - WARNING - Rejecting outlier: vx=6410.8, vy=6410.8 cm/s
2025-10-25 16:40:26,382 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,508 - WARNING - Rejecting outlier: vx=0.0, vy=2132.6 cm/s
2025-10-25 16:40:26,523 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,584 - WARNING - Rejecting outlier: vx=12879.6, vy=5151.9 cm/s
2025-10-25 16:40:26,600 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,665 - WARNING - Rejecting outlier: vx=11502.8, vy=2556.2 cm/s
2025-10-25 16:40:26,681 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,713 - WARNING - Rejecting outlier: vx=0.0, vy=4153.1 cm/s
2025-10-25 16:40:26,729 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,853 - WARNING - Rejecting outlier: vx=3565.4, vy=8556.9 cm/s
2025-10-25 16:40:26,869 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:26,931 - WARNING - Rejecting outlier: vx=0.0, vy=2550.2 cm/s
2025-10-25 16:40:26,947 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,010 - WARNING - Rejecting outlier: vx=0.0, vy=1264.1 cm/s
2025-10-25 16:40:27,026 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,057 - WARNING - Rejecting outlier: vx=10512.8, vy=6307.7 cm/s
2025-10-25 16:40:27,072 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,197 - WARNING - Rejecting outlier: vx=5709.9, vy=1427.5 cm/s
2025-10-25 16:40:27,212 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,275 - WARNING - Rejecting outlier: vx=3870.2, vy=2580.1 cm/s
2025-10-25 16:40:27,291 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,353 - WARNING - Rejecting outlier: vx=10253.6, vy=1281.7 cm/s
2025-10-25 16:40:27,369 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,400 - WARNING - Rejecting outlier: vx=16973.7, vy=4243.4 cm/s
2025-10-25 16:40:27,416 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,540 - WARNING - Rejecting outlier: vx=2843.7, vy=0.0 cm/s
2025-10-25 16:40:27,556 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,618 - WARNING - Rejecting outlier: vx=7760.8, vy=1293.5 cm/s
2025-10-25 16:40:27,634 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,697 - WARNING - Rejecting outlier: vx=2553.2, vy=0.0 cm/s
2025-10-25 16:40:27,712 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,742 - WARNING - Rejecting outlier: vx=0.0, vy=2133.1 cm/s
2025-10-25 16:40:27,757 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,885 - WARNING - Rejecting outlier: vx=7112.9, vy=4267.8 cm/s
2025-10-25 16:40:27,901 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:27,979 - WARNING - Rejecting outlier: vx=17093.2, vy=1068.3 cm/s
2025-10-25 16:40:27,994 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,055 - WARNING - Rejecting outlier: vx=29442.0, vy=3840.3 cm/s
2025-10-25 16:40:28,071 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,102 - WARNING - Rejecting outlier: vx=21505.7, vy=2150.6 cm/s
2025-10-25 16:40:28,118 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,242 - WARNING - Rejecting outlier: vx=2142.4, vy=2856.5 cm/s
2025-10-25 16:40:28,258 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,321 - WARNING - Rejecting outlier: vx=0.0, vy=5076.6 cm/s
2025-10-25 16:40:28,337 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,399 - WARNING - Rejecting outlier: vx=1276.9, vy=11492.5 cm/s
2025-10-25 16:40:28,414 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,446 - WARNING - Rejecting outlier: vx=4318.1, vy=2159.1 cm/s
2025-10-25 16:40:28,461 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,585 - WARNING - Rejecting outlier: vx=1431.6, vy=2147.3 cm/s
2025-10-25 16:40:28,600 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,662 - WARNING - Rejecting outlier: vx=9031.6, vy=16773.0 cm/s
2025-10-25 16:40:28,678 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,739 - WARNING - Rejecting outlier: vx=15619.3, vy=5206.4 cm/s
2025-10-25 16:40:28,755 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,786 - WARNING - Rejecting outlier: vx=4285.4, vy=8570.8 cm/s
2025-10-25 16:40:28,801 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:28,926 - WARNING - Rejecting outlier: vx=1438.0, vy=1438.0 cm/s
2025-10-25 16:40:28,941 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,003 - WARNING - Rejecting outlier: vx=3859.6, vy=5146.1 cm/s
2025-10-25 16:40:29,018 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,081 - WARNING - Rejecting outlier: vx=0.0, vy=3840.1 cm/s
2025-10-25 16:40:29,096 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,127 - WARNING - Rejecting outlier: vx=10856.1, vy=4342.4 cm/s
2025-10-25 16:40:29,142 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,267 - WARNING - Rejecting outlier: vx=8602.6, vy=716.9 cm/s
2025-10-25 16:40:29,282 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,343 - WARNING - Rejecting outlier: vx=19415.9, vy=6472.0 cm/s
2025-10-25 16:40:29,359 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,422 - WARNING - Rejecting outlier: vx=6450.7, vy=0.0 cm/s
2025-10-25 16:40:29,438 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,468 - WARNING - Rejecting outlier: vx=8430.6, vy=2107.6 cm/s
2025-10-25 16:40:29,484 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,622 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,685 - WARNING - Rejecting outlier: vx=1288.7, vy=6443.5 cm/s
2025-10-25 16:40:29,701 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,763 - WARNING - Rejecting outlier: vx=5086.0, vy=2543.0 cm/s
2025-10-25 16:40:29,780 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,826 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:29,950 - WARNING - Rejecting outlier: vx=722.6, vy=722.6 cm/s
2025-10-25 16:40:29,966 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,027 - WARNING - Rejecting outlier: vx=7632.8, vy=6360.7 cm/s
2025-10-25 16:40:30,043 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,105 - WARNING - Rejecting outlier: vx=2582.6, vy=0.0 cm/s
2025-10-25 16:40:30,120 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,151 - WARNING - Rejecting outlier: vx=28117.2, vy=4325.7 cm/s
2025-10-25 16:40:30,168 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,308 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,370 - WARNING - Rejecting outlier: vx=2599.1, vy=2599.1 cm/s
2025-10-25 16:40:30,385 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,447 - WARNING - Rejecting outlier: vx=2565.0, vy=6412.6 cm/s
2025-10-25 16:40:30,462 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,493 - WARNING - Rejecting outlier: vx=25069.3, vy=25069.3 cm/s
2025-10-25 16:40:30,509 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,634 - WARNING - Rejecting outlier: vx=7898.6, vy=2872.2 cm/s
2025-10-25 16:40:30,650 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,712 - WARNING - Rejecting outlier: vx=1280.8, vy=2561.6 cm/s
2025-10-25 16:40:30,728 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,790 - WARNING - Rejecting outlier: vx=11604.1, vy=1289.3 cm/s
2025-10-25 16:40:30,806 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,837 - WARNING - Rejecting outlier: vx=23264.9, vy=2115.0 cm/s
2025-10-25 16:40:30,852 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:30,976 - WARNING - Rejecting outlier: vx=7217.4, vy=721.7 cm/s
2025-10-25 16:40:30,992 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,054 - WARNING - Rejecting outlier: vx=1283.9, vy=0.0 cm/s
2025-10-25 16:40:31,070 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,132 - WARNING - Rejecting outlier: vx=5078.8, vy=1269.7 cm/s
2025-10-25 16:40:31,147 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,179 - WARNING - Rejecting outlier: vx=8720.7, vy=0.0 cm/s
2025-10-25 16:40:31,195 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,333 - WARNING - Rejecting outlier: vx=3860.4, vy=1286.8 cm/s
2025-10-25 16:40:31,349 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,412 - WARNING - Rejecting outlier: vx=6401.2, vy=10241.9 cm/s
2025-10-25 16:40:31,428 - WARNING - Could not read yaw, using last known value
